time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,qw,qx,qy,qz,p_radps,q_radps,r_radps,mass_kg,throttle,gimbal_pitch_rad,gimbal_yaw_rad,tilt_deg,dynamic_pressure_pa
0.0,35.0,-25.0,120.0,-1.0,0.6,-18.0,0.999011461133737,0.03487207852388615,-0.02615405889291461,0.008718019630971538,1.8452300362238613e-05,0.004481183062627048,-0.0041120678304332635,1250.0,0.13101736111111106,0.13962634015954636,-0.13962634015954636,4.996640508364582,200.69068765720968
0.02,34.98003877903644,-24.988079619304646,119.63843103125129,-0.9961218383914797,0.592038753301242,-18.15688992456021,0.9990135054925094,0.03481806587279693,-0.026162152554945008,0.008675246747909534,-0.011059949807454079,-0.006288905262804854,-0.004098772670051369,1249.9831247360405,0.1310081672329273,0.13962634015954636,-0.13962634015954636,4.992243285533276,204.11965015397868
0.04,34.96015510936349,-24.97631839615874,119.27372469046642,-0.992246240607725,0.5840855621175911,-18.313736732491854,0.9990165644266613,0.03465437848748892,-0.02627871372979493,0.008625964149239091,-0.022124033732899766,-0.017040499897146157,-0.004085295398688803,1249.9662506562686,0.13099897399990523,0.13962634015954636,-0.13962634015954636,4.985313031841469,207.5779041871574
0.06,34.940348857581235,-24.964716090457145,118.90588186819369,-0.9883814161376244,0.5761483245256726,-18.47053760526317,0.9990205454315088,0.034381154351225865,-0.026503545123391637,0.008570188276843858,-0.03317291120183817,-0.02777268545111933,-0.004071636191109466,1249.949377760601,0.1309897814119998,0.13962634015954636,-0.13962634015954636,4.9760804316138865,211.06540214550597
0.08,34.920619726270324,-24.953272304212422,118.53490351113413,-0.984535557474078,0.5682349309354553,-18.62728974790252,0.9990252849822179,0.03399853799123258,-0.026836438182175605,0.008507935492902022,-0.04420566716283543,-0.03848452090932043,-0.004057795273961852,1249.9325060489548,0.13098058946916558,0.13962634015954636,-0.13962634015954636,4.964962022212822,214.5820944140117
0.1,34.90096725432977,-24.941986481692982,118.16079062156398,-0.9807168403179597,0.56035326559729,-18.783990399635474,0.999030548939703,0.03350668085265315,-0.027277172761109077,0.008439222098929734,-0.05522135967017745,-0.04917503953945715,-0.004043772926142657,1249.915635521247,0.1309713981713575,0.13962634015954636,-0.13962634015954636,4.952562533829446,218.12792964561714
0.12,34.881390817311214,-24.930857909531756,117.7835442565447,-0.9769334237247376,0.5525112080436388,-18.940636844468685,0.9990360329873644,0.032905741712823226,-0.027825516754057915,0.008364064357014091,-0.06621901978150813,-0.05984324881607187,-0.004029569479121936,1249.8987661773942,0.13096220751853005,0.13962634015954636,-0.13962634015954636,4.939677670106435,221.70285504512103
0.14,34.86188962775093,-24.91988571680676,117.40316552692207,-0.9731934501819588,0.5447166344535394,-19.097226421718936,0.999041363099949,0.03219588713522516,-0.028481225687289956,0.008282478513198818,-0.07719765147104635,-0.07048813035966514,-0.004015185317228997,1249.8818980173135,0.13095301751063815,0.13962634015954636,-0.13962634015954636,4.927296534302928,225.30681666507508
0.16,34.84246273550106,-24.909068875095258,117.01965559611506,-0.9695050456059787,0.5369774189279601,-19.253756536485522,0.9990460960458498,0.031377291962436646,-0.029244042276892746,0.008194480822982629,-0.08815623155940008,-0.08110863989219277,-0.0040006208778982704,1249.8650310409216,0.13094382814763628,0.13962634015954636,-0.13962634015954636,4.916602610546246,228.9397597134982
0.18,34.823109028061864,-24.89840619850339,116.63301567869604,-0.9658763192464948,0.5293014346643289,-19.41022467006369,0.9990497199242214,0.03045013984732273,-0.030113695950976474,0.008100087578887314,-0.09909370966105568,-0.09170370720996668,-0.003985876651874485,1249.8481652481357,0.13093463942947936,0.13962634015954636,-0.13962634015954636,4.908971906381984,232.60162887321906
0.2,34.80382723091684,-24.887896343673443,116.24324703876319,-0.9623153634876455,0.5216965550186473,-19.566628390296525,0.9990516547383121,0.0294146238216572,-0.03108990233759258,0.00799931514004914,-0.1100090081506798,-0.10227223617504619,-0.003970953183376511,1249.8313006388728,0.13092545135612232,0.13962634015954636,-0.13962634015954636,4.90596659063853,236.29236863264
0.22,34.78461590787295,-24.87753780977106,115.85035098810656,-0.9588302535346468,0.5141706544437535,-19.722965361862116,0.9990512530064598,0.028270946901293115,-0.03217236271936608,0.007892179963783821,-0.1209010221494302,-0.11281310472626176,-0.003955851070219343,1249.8144372130496,0.13091626392751954,0.13962634015954636,-0.13962634015954636,4.909322286834833,240.0119236277089
